chapter,loots,battles,defeats,unfair_defeats,lamp_level,hero_power,max_enemy_power,hero_level,gold_earned,gold_spent,gold_net
1,29,11,1,1,2,143,154,2,700,500,200
2,29,10,0,0,2,226,231,3,700,0,700
3,15,11,1,0,3,354,370,4,710,1000,-290
4,27,10,0,0,3,507,555,5,670,0,670
5,30,10,0,0,4,928,866,6,710,1500,-790
6,6,12,2,0,4,1521,1299,7,680,0,680
7,15,13,3,1,4,2051,1949,8,650,0,650
8,9,10,0,0,5,2811,3070,9,700,2000,-1300
9,19,11,1,1,5,5397,4605,10,730,0,730
10,9,12,2,2,5,7302,6908,11,690,0,690
11,5,10,0,0,6,13496,12405,12,720,2500,-1780
12,3,11,1,0,6,26576,18609,13,700,0,700
13,0,10,0,0,6,26576,27913,14,670,0,670
14,11,10,0,0,6,44012,41870,15,710,0,710
15,19,13,3,2,6,64380,62806,16,700,0,700
